,Unnamed: 0,Area_Name,Area_ID,Park_Name,Park_ID,Squirrel_ID,Primary_Fur_Color,Highlights_in_Fur_Color,Color_Notes,Location,Above_Ground_(Height_in_Feet),Specific_Location,Activities,Interactions_with_Humans,Other_Notes_or_Observations,Squirrel_Latitude_(DD.DDDDDD),Squirrel_Longitude_(-DD.DDDDDD)
0,2,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-03,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.859416,-73.933894
1,4,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-05,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,She left food,40.859493,-73.93359
2,9,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-10,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.859636,-73.933717
3,10,UPPER MANHATTAN,A,Fort Tryon Park,1,A-01-11,Gray,Black,,Ground Plane,,,Eating,Indifferent,was intimidated by a dog,40.859576,-73.933738
4,22,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-11,Gray,Cinnamon,,Ground Plane,,,Eating,Runs From,,40.846271,-73.940579
5,27,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-16,Gray,Cinnamon,,"Above Ground, Specific Location",20,tree,Eating,Indifferent,,40.846417,-73.941115
6,34,UPPER MANHATTAN,A,J. Hood Wright Park,2,A-02-23,Gray,Cinnamon,,"Above Ground, Specific Location",2,fence,Eating,Indifferent,,40.84719,-73.941308
7,37,UPPER MANHATTAN,A,Highbridge Park,3,A-03-02,Gray,White,,"Above Ground, Specific Location",2,in tree,Eating,Runs From,#1 and #2 chasing each other,40.841204,-73.935434
8,49,UPPER MANHATTAN,A,Highbridge Park,3,A-03-14,Gray,Cinnamon,,Ground Plane,,,Eating,"Runs From, watches us in short tree",Loud sparrows in tree,40.842327,-73.934269
9,51,UPPER MANHATTAN,A,Highbridge Park,3,A-03-16,Gray,Cinnamon,,Ground Plane,,,Eating,Indifferent,,40.842769,-73.934478
10,54,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-03,Gray,White,,Ground Plane,,,Eating,Indifferent,Being chased by #2,40.817719,-73.948914
11,56,UPPER MANHATTAN,A,St. Nicholas Park,4,A-04-05,Gray,White,,Ground Plane,,,Eating,Indifferent,,40.817569,-73.948931
12,74,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-08,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
13,75,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-09,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
14,76,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-10,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
15,77,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-11,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
16,78,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-12,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
17,79,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-13,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
18,80,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-14,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
19,83,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-17,Gray,Gray,,Ground Plane,,,Eating,Okay with people,,,
20,91,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-25,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
21,92,UPPER MANHATTAN,A,Riverside Park (Section Near Grant Memorial),5,A-05-26,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,,
22,103,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-09,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804701,-73.944118
23,104,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-10,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804746,-73.94374
24,105,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-11,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804912,-73.94408
25,106,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-12,Gray,Gray,,"Above Ground, Specific Location",2ÛÒ6,small trees,Eating,Indifferent,"2 were chasing each other through some short trees, others just sat",40.804729,-73.944053
26,108,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-14,Gray,Gray,,Above Ground,15,,Eating,,Too far to observe human interactions,40.804613,-73.943829
27,109,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-15,Gray,Gray,,Above Ground,15,,Eating,,Too far to observe human interactions,40.804564,-73.943824
28,122,UPPER MANHATTAN,A,Marcus Garvey Park,6,A-06-28,Gray,Gray,,Above Ground,3,,Eating,Indifferent,,40.80362,-73.944067
29,141,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-02,Gray,Gray,,Ground Plane,,,Eating,Indifferent,,40.735847,-73.990115
30,146,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-07,Gray,Cinnamon,Cinnamon tail,"Above Ground, Specific Location",,in tree,Eating,,Baby smaller,40.735636,-73.990426
31,149,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-10,Gray,,,Ground Plane,,,Eating,"Indifferent, Staring",,40.73542,-73.990453
32,151,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-12,Gray,,,Ground Plane,,,Eating,,Big,40.735945,-73.990201
33,153,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-14,Gray,,,Ground Plane,,,Eating,,Big and chubby,40.73604,-73.98966
34,154,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-15,Gray,,,Ground Plane,,,Eating,,,40.73618,-73.990683
35,155,CENTRAL MANHATTAN,B,Union Square Park,8,B-08-16,Cinnamon,,,Ground Plane,,,Eating,,,40.736298,-73.990559
36,161,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-06,Gray,Cinnamon,,Above Ground,15,,Eating,Indifferent,,40.733648,-73.984294
37,168,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-13,Gray,Cinnamon,,Above Ground,40,,Eating,,,40.733737,-73.984644
38,169,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-14,Black,Cinnamon,,Above Ground,10,,Eating,Approaches,,40.733932,-73.984612
39,170,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-15,Black,Cinnamon,,Above Ground,30,,Eating,,Far away,40.734014,-73.984461
40,172,CENTRAL MANHATTAN,B,Stuyvesant Square Park,9,B-09-17,Gray,Cinnamon,,"Above Ground, Specific Location",15,in tree,Eating,,,40.734083,-73.984322
