Date,Canadian dollar ,Chinese yuan renminbi ,UK pound sterling ,Indian rupee ,Mexican peso ,US dollar 
2022-12-30,1.444,7.3582,0.88693,88.171,20.856,1.0666
2022-12-29,1.4475,7.4151,0.88549,88.2295,20.651,1.0649
2022-12-28,1.4361,7.4224,0.88058,88.0943,20.6856,1.064
2022-12-27,1.4384,7.3994,0.88333,88.0808,20.5515,1.0624
2022-12-23,1.4433,7.4198,0.8803,87.958,20.7115,1.0622
2022-12-22,1.4484,7.4229,0.88243,88.0365,20.8485,1.0633
2022-12-21,1.4475,7.4219,0.87651,88.109,20.9919,1.0636
2022-12-20,1.4451,7.39,0.8753,87.6649,20.9355,1.0599
2022-12-19,1.4472,7.3901,0.87118,87.5321,20.9743,1.0598
2022-12-16,1.4506,7.4037,0.87233,87.824,21.0634,1.0619
2022-12-15,1.4443,7.4007,0.86194,87.9355,20.9431,1.0621
2022-12-14,1.4441,7.4009,0.86118,87.8435,20.8635,1.0649
2022-12-13,1.4341,7.3637,0.85753,87.2965,20.9435,1.0545
2022-12-12,1.4428,7.367,0.86006,87.253,20.9047,1.0562
2022-12-09,1.438,7.3475,0.8595,86.9535,20.849,1.0559
2022-12-08,1.4307,7.3324,0.86258,86.6755,20.6989,1.0519
2022-12-07,1.4387,7.3476,0.86408,86.692,20.7534,1.0529
2022-12-06,1.4326,7.3494,0.8617,86.6485,20.6884,1.0516
2022-12-05,1.4198,7.3573,0.86085,86.5249,20.7295,1.0587
2022-12-02,1.416,7.3971,0.85855,85.6435,20.187,1.0538
2022-12-01,1.4059,7.3965,0.85715,84.933,20.1472,1.0454
2022-11-30,1.4021,7.3437,0.86488,84.4215,20.0111,1.0376
2022-11-29,1.4005,7.4289,0.86218,84.6548,19.8075,1.0366
2022-11-28,1.4062,7.5326,0.86606,85.437,20.22,1.0463
2022-11-25,1.3864,7.4425,0.85885,84.7145,20.1069,1.0375
2022-11-24,1.3894,7.4442,0.85933,85.0295,20.1501,1.0413
2022-11-23,1.3856,7.3982,0.86369,84.466,20.001,1.0325
2022-11-22,1.3765,7.3344,0.86358,83.8768,20.0951,1.0274
2022-11-21,1.377,7.3419,0.86793,83.7375,19.9357,1.0246
2022-11-18,1.3841,7.379,0.87063,84.6875,20.162,1.0366
2022-11-17,1.382,7.3859,0.87475,84.394,20.062,1.0319
2022-11-16,1.3801,7.372,0.87483,84.5905,20.1227,1.0412
2022-11-15,1.3816,7.3299,0.87455,84.1304,20.0795,1.0404
2022-11-14,1.3706,7.2906,0.87513,83.7779,20.0985,1.0319
2022-11-11,1.3698,7.3267,0.87538,83.2253,20.0239,1.0308
2022-11-10,1.3467,7.2184,0.87298,81.3058,19.4562,0.9954
2022-11-09,1.3501,7.2813,0.87774,81.6575,19.6554,1.0039
2022-11-08,1.3489,7.2495,0.87378,81.518,19.4495,0.9996
2022-11-07,1.3464,7.2189,0.87135,81.8407,19.4395,0.9993
2022-11-04,1.3351,7.0894,0.87478,81.02,19.2611,0.9872
2022-11-03,1.3452,7.1367,0.87228,80.8845,19.2363,0.9753
2022-11-02,1.347,7.2156,0.861,81.992,19.4921,0.9908
2022-11-01,1.3469,7.2165,0.86058,82.084,19.5984,0.9947
2022-10-31,1.3553,7.238,0.86115,82.1035,19.7122,0.9914
2022-10-28,1.3542,7.2159,0.8612,82.0565,19.7718,0.9951
2022-10-27,1.3672,7.2552,0.86745,82.656,20.015,1.0037
2022-10-26,1.3568,7.1948,0.86603,82.206,19.8501,1.0023
2022-10-25,1.3537,7.2072,0.87143,81.653,19.6353,0.9861
2022-10-24,1.3502,7.1544,0.8707,81.5451,19.6514,0.9851
2022-10-21,1.3465,7.0504,0.87728,80.739,19.5521,0.973
2022-10-20,1.3461,7.0858,0.87258,81.1755,19.7005,0.9811
2022-10-19,1.3479,7.0672,0.86993,81.1955,19.6845,0.9778
2022-10-18,1.3495,7.0805,0.86928,80.9195,19.664,0.9835
2022-10-17,1.3452,7.013,0.8625,80.128,19.5,0.9739
2022-10-14,1.3426,6.9952,0.86823,79.9695,19.5032,0.9717
2022-10-13,1.3443,6.9945,0.86513,79.9981,19.4442,0.9739
2022-10-12,1.3395,6.9603,0.8784,79.8955,19.4522,0.9706
2022-10-11,1.3402,6.9669,0.87703,79.9555,19.4115,0.9723
2022-10-10,1.3312,6.9344,0.8773,79.9678,19.3588,0.9697
2022-10-07,1.3437,6.9715,0.87383,80.546,19.643,0.9797
2022-10-06,1.3475,7.0164,0.87583,81.0615,19.817,0.986
2022-10-05,1.3493,7.0555,0.8734,80.909,19.8625,0.9915
2022-10-04,1.3503,7.0384,0.87273,80.6995,19.777,0.9891
2022-10-03,1.3412,6.9481,0.8707,79.898,19.604,0.9764
2022-09-30,1.3401,6.9368,0.883,79.425,19.6393,0.9748
2022-09-29,1.3294,6.9223,0.89485,79.314,19.5779,0.9706
2022-09-28,1.3157,6.9199,0.90268,78.2655,19.5294,0.9565
2022-09-27,1.3196,6.9156,0.89275,78.574,19.5832,0.9644
2022-09-26,1.3195,6.9075,0.89404,78.704,19.6066,0.9646
2022-09-23,1.3177,6.9442,0.88201,79.0705,19.5708,0.9754
2022-09-22,1.3278,6.9804,0.87256,79.897,19.6129,0.9884
2022-09-21,1.3262,6.9821,0.87335,79.1555,19.7847,0.9906
2022-09-20,1.3268,7.003,0.87395,79.6095,19.9667,0.9986
2022-09-19,1.3294,7.0066,0.87785,79.653,20.113,0.999
2022-09-16,1.3226,6.9787,0.874,79.3605,20.0028,0.9954
2022-09-15,1.3172,6.9852,0.86934,79.7119,20.0021,0.9992
2022-09-14,1.3177,6.955,0.86498,79.422,20.028,0.999
2022-09-13,1.32,7.0467,0.86793,80.5453,20.1615,1.0175
2022-09-12,1.3194,7.0348,0.86778,80.692,20.1025,1.0155
2022-09-09,1.307,6.9543,0.8686,79.9685,19.991,1.0049
2022-09-08,1.3134,6.9564,0.86656,79.7375,20.013,1.0009
2022-09-07,1.3037,6.8968,0.8651,79.028,19.9225,0.9885
2022-09-06,1.3029,6.9091,0.85743,79.2305,19.8545,0.9928
2022-09-05,1.3043,6.8768,0.86358,79.2332,19.8192,0.992
2022-09-02,1.3131,6.9031,0.86478,79.8096,20.1024,0.9993
