uni,type,res,pct,state,region,uni_abbr
Appalachian State University,Nonuse,46,0.4,North Carolina,south,ASU
Appalachian State University,No,53,0.461,North Carolina,south,ASU
Appalachian State University,Yes,16,0.139,North Carolina,south,ASU
Butler University,Nonuse,17,0.25,Indiana,midwest,BU
Butler University,No,44,0.647,Indiana,midwest,BU
Butler University,Yes,7,0.103,Indiana,midwest,BU
Cal Poly San Luis Obispo,Nonuse,7,0.28,California,pacific,CPSLO
Cal Poly San Luis Obispo,No,10,0.4,California,pacific,CPSLO
Cal Poly San Luis Obispo,Yes,8,0.32,California,pacific,CPSLO
Case Western Reserve University,Nonuse,12,0.387,Ohio,midwest,CWRU
Case Western Reserve University,No,12,0.387,Ohio,midwest,CWRU
Case Western Reserve University,Yes,7,0.226,Ohio,midwest,CWRU
Chapman University,Nonuse,19,0.302,California,pacific,Chap
Chapman University,No,31,0.492,California,pacific,Chap
Chapman University,Yes,13,0.206,California,pacific,Chap
Colby College,Nonuse,2,0.143,Maine,northeast,CC
Colby College,No,11,0.786,Maine,northeast,CC
Colby College,Yes,1,0.071,Maine,northeast,CC
College of William and Mary,Nonuse,6,0.375,Virginia,south,WAM
College of William and Mary,No,7,0.438,Virginia,south,WAM
College of William and Mary,Yes,3,0.188,Virginia,south,WAM
Cornell University,Nonuse,51,0.264,New York,northeast,CU
Cornell University,No,95,0.492,New York,northeast,CU
Cornell University,Yes,47,0.244,New York,northeast,CU
Dartmouth College,Nonuse,2,0.2,New Hampshire,northeast,DC
Dartmouth College,No,3,0.3,New Hampshire,northeast,DC
Dartmouth College,Yes,5,0.5,New Hampshire,northeast,DC
Indiana University,Nonuse,5,0.114,Indiana,midwest,IU
Indiana University,No,30,0.682,Indiana,midwest,IU
Indiana University,Yes,9,0.205,Indiana,midwest,IU
Johns Hopkins University,Nonuse,29,0.21,Maryland,northeast,JHU
Johns Hopkins University,No,76,0.551,Maryland,northeast,JHU
Johns Hopkins University,Yes,33,0.239,Maryland,northeast,JHU
Northwestern University,Nonuse,24,0.2,Illinois,midwest,NU
Northwestern University,No,65,0.542,Illinois,midwest,NU
Northwestern University,Yes,31,0.258,Illinois,midwest,NU
Ohio State University,Nonuse,1,0.053,Ohio,midwest,OSU
Ohio State University,No,12,0.632,Ohio,midwest,OSU
Ohio State University,Yes,6,0.316,Ohio,midwest,OSU
Purdue University,Nonuse,8,0.308,Indiana,midwest,PU
Purdue University,No,13,0.5,Indiana,midwest,PU
Purdue University,Yes,5,0.192,Indiana,midwest,PU
San Diego State University,Nonuse,6,0.231,California,pacific,SDSU
San Diego State University,No,15,0.577,California,pacific,SDSU
San Diego State University,Yes,5,0.192,California,pacific,SDSU
Stanford University,Nonuse,37,0.343,California,pacific,SU
Stanford University,No,58,0.537,California,pacific,SU
Stanford University,Yes,13,0.12,California,pacific,SU
Texas A&M University,Nonuse,12,0.222,Texas,mountain,TAU
Texas A&M University,No,29,0.537,Texas,mountain,TAU
Texas A&M University,Yes,13,0.241,Texas,mountain,TAU
Texas Christian University,Nonuse,10,0.385,Texas,mountain,TCU
Texas Christian University,No,8,0.308,Texas,mountain,TCU
Texas Christian University,Yes,8,0.308,Texas,mountain,TCU
Texas Tech University,Nonuse,5,0.385,Texas,mountain,TTU
